Index,Mes,sum,mean,Commodity,Producao,Exportacoes,Outlier_IQR_Prod,Outlier_IQR_Expo,Z_Score,Prod_Normalizado,Z_Score_Normalizado
52,Jul,,,CAFE,472445.05,99838.61,False,False,-0.18632673433719946,-21100.04999999999,-0.21385276474215614
34,Jul,,,SOJA,493545.1,40661.92,False,False,-0.18629682885899101,0.0,-0.21575781749284179
74,Jun,,,SOJA,414396.88,10753.68,False,False,-0.18640900704664687,-79148.21999999997,-0.2167206421266658
65,Jun,,,MILHO,362040.2,61036.63,False,False,-0.18648321310553334,-131504.89999999997,-0.21510190217669414
48,Jun,,,MINERIO DE FERRO,300901.01,250871.78,False,False,-0.1865698667729051,-192644.08999999997,-0.20899061114834627
92,Jun,,,SOJA,22014.51,56612.11,False,False,-0.18696513759683128,-471530.58999999997,-0.2152443390719727
70,Jun,,,ALGODAO,296046.78,115140.16,False,False,-0.1865767467598949,-197498.31999999995,-0.2133601677429449
83,Jun,,,ALGODAO,185015.82,94793.55,False,False,-0.18673411292512884,-308529.2799999999,-0.21401517844644366
26,Jun,,,AÇUCAR,364019.32,84922.27,False,False,-0.1864804080633637,-129525.77999999997,-0.21433296082184838
19,Jun,,,ALGODAO,375841.23,287623.51,False,False,-0.18646365265890313,-117703.87,-0.2078074766349263
18,Mai,,,ALGODAO,36884.93,208982000.24,False,True,-0.18694406148462964,-456660.17,6.510611489382148
5,Mai,,,MILHO,384926.74,178421.42,False,False,-0.18645077560309914,-108618.35999999999,-0.211322978126056
10,Mai,,,MINERIO DE FERRO,292620.835,161520.98,True,False,6.455576018797324,-200924.26499999996,-0.21186704758498986
69,Mai,,,ALGODAO,158455.73,39198.88,False,False,-0.1867717570156741,-335089.36999999994,-0.21580491658500736
30,Mai,,,TRIGO,432285.24,183494.53,False,False,-0.1863836535541118,-61259.859999999986,-0.21115966141875062
45,Mai,,,AÇUCAR,487727.21,209085.46,False,False,-0.18630507465853244,-5817.889999999956,-0.21033582230931236
66,Mar,,,MILHO,394914.05,117164.98,False,False,-0.18643662041002773,-98631.04999999999,-0.21329498348017786
43,Mar,,,CACAU,431798.18,100847.74,False,False,-0.18638434387296013,-61746.919999999984,-0.21382027820256935
9,Mar,,,MILHO,312753.93,294957.15,False,False,-0.186553067417417,-180791.16999999998,-0.20757138754216797
46,Mar,,,ALGODAO,292620.835,238688.78,True,False,5.6057522155752695,-200924.26499999996,-0.2093828138494707
67,Mar,,,MINERIO DE FERRO,292620.835,221156.21,True,False,0.5011114933710314,-200924.26499999996,-0.20994723322989042
50,Mar,,,SOJA,403874.24,34444000.08,False,True,-0.18642392097250088,-89670.85999999999,0.8917758075625042
29,Mar,,,SOJA,29637.1,133599.73,False,False,-0.18695433396370545,-463907.99999999994,-0.21276590580289764
25,Mar,,,ALGODAO,460044.65,64449.56,False,False,-0.18634430964588242,-33500.44999999995,-0.21499203101484987
3,Mar,218000.0,43600.0,,,,False,False,,,
4,Mar,,,TRIGO,178591.25,160071.53,False,False,-0.18674321858308385,-314953.85,-0.2119137091794366
8,Nov,,,AÇUCAR,300987.2,194627.28,False,False,-0.18656974461427672,-192557.89999999997,-0.21080126901778673
57,Nov,,,TRIGO,134149.69,123283.25,False,False,-0.186806206400844,-359395.41,-0.21309802033315262
21,Nov,,,CAFE,197191.43,68558.45,False,False,-0.1867168562153329,-296353.6699999999,-0.21485975507652408
13,Nov,,,MILHO,179184.41,150044.7,False,False,-0.18674237788680806,-314360.68999999994,-0.21223649911703127
12,Nov,,,TRIGO,106138.08,42948.77,False,False,-0.1868459077566436,-387407.01999999996,-0.2156841977976053
31,Nov,,,SOJA,405482.72,261334.66,False,False,-0.18642164124503155,-88062.38,-0.20865378361838313
17,Nov,,,AÇUCAR,235588.75,276899.31,False,False,-0.18666243500701712,-257956.34999999995,-0.20815271674059801
88,Nov,,,SOJA,271470.1,40758.58,False,False,-0.1866115797279768,-222074.99999999997,-0.21575470575410005
98,Out,,,ALGODAO,292399.84,25565.02,False,False,-0.18658191563317708,-201145.25999999995,-0.21624382627217412
51,Out,,,AÇUCAR,12935.51,157059.44,False,False,-0.1869780054258959,-480609.58999999997,-0.2120106762510963
86,Out,,,MILHO,45126.32,133413.41,False,False,-0.18693238081519747,-448418.77999999997,-0.21277190393203446
81,Out,,,MILHO,458676.93,81496.01,False,False,-0.18634624813989809,-34868.169999999984,-0.21444326111133
79,Out,,,AÇUCAR,477063.61,72048.61,False,False,-0.18632018836951528,-16481.48999999999,-0.21474739767856327
72,Out,,,CACAU,123702.65,148931.57,False,False,-0.186821013177466,-369842.44999999995,-0.21227233368919762
35,Out,,,MILHO,292620.835,13228.67,True,False,4.727312908014873,-200924.26499999996,-0.21664096571172237
59,Out,,,SOJA,293283.82,104108.41,False,False,-0.1865806627525144,-200261.27999999997,-0.21371530868919209
42,Out,,,SOJA,97407.05,255397.07,False,False,-0.18685828240160426,-396138.04999999993,-0.2088449302026538
39,Out,,,ALGODAO,142686.49,293751.52,False,False,-0.18679410704153585,-350858.61,-0.20761019993177288
77,Set,,,MILHO,388934.64,277646.23,False,False,-0.1864450951347537,-104610.45999999996,-0.2081286714281525
71,Set,,,MINERIO DE FERRO,417589.07,86100120.1,False,True,-0.18640448269867224,-75956.02999999997,2.5547216994981436
96,Set,,,AÇUCAR,292620.835,143311.82,True,False,0.09357414633639785,-200924.26499999996,-0.21245324817082314
97,Set,,,TRIGO,221077.95,131477.24,False,False,-0.1866830014233615,-272467.1499999999,-0.2128342343189536
89,Set,,,MILHO,255958.36,131557.35,False,False,-0.1866335647944835,-237586.73999999996,-0.21283165536808873
36,Set,,,ALGODAO,282152.25,54231.27,False,False,-0.1865964397257472,-211392.84999999998,-0.21532098455165305
